"id","Metacritic_Score","Rank","Album_Name","Singer","Release_Date","Desciption","Release_Year","RYM_Rating","Genres","Language","Tracks","Colorscheme","RYM_Rank","Num_of_RYM_Ratings","avg_pop","max_pop","min_pop","med_pop","n"
965,73,396,"Wave","Patrick Watson","2019-10-18","The sixth full-length studio release for the Canadian singer-songwriter was mixed with Rob Heaney.",2019,3.47,"Chamber Pop, Ambient Pop, Singer-Songwriter
Art Pop","English","['Dream for Dreaming', 'The Wave', 'Strange Rain', 'Melody Noir', 'Broken', 'Turn Out the Lights', 'Wild Flower', 'Look at You', 'Drive', 'Here Comes the River']","['#d7cdb2', '#8881a0', '#a69dae', '#a19297', '#57545f', '#68618a']","#354 for 2019",301,38.4,54,28,38,10
966,73,397,"The Competition","Lower Dens","2019-09-06","The Baltimore indie pop band is now a duo with just Jana Hunter and Nate Nelson on its fourth full-length release.",2019,2.96,"Synthpop
New Wave","","['Galapagos', 'Hand of God', 'Two Faced Love', 'Young Republicans', 'Real Thing', 'Buster Keaton', 'I Drive', 'Simple Life', 'Empire Sundown', 'Lucky People', 'In Your House']","['#9a8a95', '#bfabaa', '#c4b8b8', '#a39896', '#6b585c', '#95827c']","#1,584 for 2019",256,12.3636363636364,27,6,10,11
967,73,398,"Ephyra","Woman's Hour","2019-02-15","This is the second and final release for the London-based indie pop trio.",2019,2.8,"Art Pop","","[]","['#7a7a7a', '#969696', '#746351', '#a79a87']","",42,4.625,24,0,1,8
968,73,399,"The Brian Jonestown Massacre","The Brian Jonestown Massacre","2019-03-15","The 18th full-length studio release for the San Francisco psychedelic rock project led by Anton Newcombe was recorded in Berlin.",2019,3.17,"Neo-Psychedelia, Psychedelic Rock
Paisley Underground","English","['Drained', 'Tombes oubliées', 'My Mind Is Filled With Stuff', 'Cannot Be Saved', 'A Word', 'We Never Had a Chance', 'To Sad to Tell You', 'Remember Me This', 'What Can I Say']","['#0060a7', '#7c838b', '#b0b4b5', '#b5cbe3', '#115d91', '#23779c']","#1,011 for 2019",451,26.8888888888889,37,20,25,9
969,73,400,"The State Between Us","Matthew Herbert Big Band","2019-03-29","Over a thousand musicians from across the European Union contributed to the album about being British in the face of Brexit from the British-born electronic producer.",2019,3.06,"Avant-Garde Jazz, Experimental Big Band
Ambient, Sound Collage","English","['A Devotion Upon Emergent Occasions', ""You're Welcome Here"", 'Run It Down', 'The Tower', 'An A-Z of Endangered Animals', 'Reisezehrung', 'Moonlight Serenade', 'Be Still', 'The Words', 'The Special Relationship', 'Fiesta', ""Where's Home?"", 'Fish and Chips', 'Backstop (Newry to Strabane)', 'Feedback', 'Women of England']","['#90827a', '#5a441b', '#6e462c', '#827f7a']","",46,1.6875,4,0,1,16
970,73,401,"Devour You","Starcrawler","2019-10-11","The second full-length release for the Los Angeles rock band was produced by Nick Launay.",2019,3.01,"Alternative Rock
Garage Rock, Punk Rock","English","['Lizzy', 'Bet My Brains', 'Home Alone', 'No More Pennies', 'You Dig Yours', 'Toy Teenager', 'Hollywood Ending', 'She Gets Around', ""I Don't Need You"", 'Rich Taste', 'Born Asleep', 'Tank Top', 'Call Me a Baby']","['#bba4a7', '#b9bbb6', '#9c9992', '#887f7a', '#c68f7b']","",75,21.8461538461538,37,15,20,13
971,73,402,"Everyday Life","Coldplay","2019-11-22","The eighth full-length studio release for the British alternative rock band is a double album and was produced by Rik Simpson.",2019,3.03,"Art Pop, Art Rock
Pop Rock, Ambient Pop, Indie Folk","English, French, Persian, Spanish","['Sunrise', 'Sunrise', 'Church', 'Trouble in Town', 'BrokEn', 'Daddy', 'WOTW / POTP', 'Arabesque', 'When I Need a Friend', 'Sunset', 'Guns', 'Orphans', 'Èkó', 'Cry Cry Cry', 'Old Friends', 'بني آدم', 'Champion of the World', 'Everyday Life']","['#959394', '#535152', '#989898', '#838383', '#6a6a6a']","#1,241 for 2019",3310,55.8125,66,46,56,16
972,73,403,"Power Chords","Mike Krol","2019-01-25","The fourth full-length release for Los Angeles-based garage rock/power-pop artist was produced by Mike McCarthy.",2019,3.18,"Garage Rock, Power Pop, Slacker Rock
Garage Punk","English","['Power Chords', ""What's the Rhythm"", 'An Ambulance', 'Little Drama', 'Left for Dead', 'Blue and Pink', 'I Wonder', 'Wasted Memory', 'Nothing to Yell About', 'Arrow in My Heart', 'The End']","['#9c9d9f', '#abaeaf', '#9d9183', '#7e7065', '#d3bbaf', '#8da4b6', '#57594c']","#1,005 for 2019",449,24.4545454545455,35,17,24,11
973,72,404,"Outer Peace","Toro y Moi","2019-01-18","The latest full-length release for Chaz Bundick as Toro y Moi features guest appearances from ABRA and Wet.",2019,2.99,"Alternative R&B, Synth Funk, Synthpop
Funky House, Nu-Disco","English","['Fading', 'Ordinary Pleasure', 'Laws of the Universe', 'Miss Me', 'New House', 'Baby Drive It Down', 'Freelance', 'Who I Am', 'Monte Carlo', '50-50']","['#974132', '#959ca6', '#6a6287', '#b09d8f']","#1,348 for 2019",2710,42.6,57,33,39.5,10
974,72,405,"Spring","Itasca","2019-11-01","The fourth full-length release for Los Angeles singer-songwriter Kayla Cohen was inspired by her time in New Mexico and features contributions from members of Gun Outfit and Sun Araw as well as Chris Cohen, Cooper Crain, and James Elkington.",2019,2.82,"Contemporary Folk, Singer-Songwriter","","[]","['#b7b7b7', '#8a8a8a', '#808080', '#4f717d', '#5b5b5b']","",43,4.6,11,2,3,10
975,72,406,"Brutalism","The Drums","2019-04-05","The fifth full-length release for the New York indie pop project of Jonny Pierce was mixed by Chris Coady.",2019,2.8,"Indie Pop, Synthpop
Jangle Pop, Post-Punk Revival, Indietronica, Bedroom Pop","English","['Pretty Cloud', 'Body Chemistry', '626 Bedford Avenue', 'Brutalism', 'Loner', 'I Wanna Go Back', 'Kiss It Away', 'Nervous', 'Blip of Joy']","['#cf8981', '#86dfe7', '#7dcbd5', '#ac9b87', '#ddae9c', '#a17b66', '#cbc0aa', '#c3a3a3', '#53b9bd', '#407c7c']","#1,748 for 2019",624,25.8888888888889,35,20,26,9
976,72,407,"Father Of 4","Offset","2019-02-22","The debut full-length studio release for the rapper features guest appearances from 21 Savage, Big Rube, Cardi B, J. Cole,  CeeLo Green, Gucci Mane, Gunna, Quavo, and Travis Scott.",2019,2.58,"Trap, Southern Hip Hop
Pop Rap, Conscious Hip Hop","English","['Father of 4', 'How Did I Get Here', 'Lick', 'Tats on My Face', 'Made Men', 'Wild Wild West', 'North Star', 'After Dark', ""Don't Lose Me"", 'Underrated', 'Legacy', 'Clout', 'On Fleek', 'Quarter Milli', 'Red Room', 'Came a Long Way']","['#765a2a', '#ac9851', '#a29256', '#7a7b7a', '#b9bdb8']","",1422,51.4375,69,43,49,16
977,72,408,"Doom Days","Bastille","2019-06-14","The third full-length release for the British indie pop band was produced with Mark Crew and Dan Priddy.",2019,2.62,"Synthpop, Electropop
Indie Pop, Pop Rock","English","['Quarter Past Midnight', 'Bad Decisions', 'The Waves', 'Divide', 'Million Pieces', 'Doom Days', 'Nocturnal Creatures', '4AM', 'Another Place', 'Those Nights', 'Joy']","['#888a7f', '#c3aba7', '#726c60', '#b4b0a8', '#aa7758']","",506,47.9090909090909,60,39,47,11
978,72,409,"Free","Iggy Pop","2019-09-06","The latest full-length solo release for the punk artist includes contributions from Noveller and Leron Thomas.",2019,2.92,"Art Rock
Poetry, Ambient, Jazz, Spoken Word, Dark Jazz","English","['Free', 'Loves Missing', 'Sonali', 'James Bond', 'Dirty Sanchez', 'Glow in the Dark', 'Page', 'We Are the People', 'Do Not Go Gentle Into That Good Night', 'The Dawn']","['#acb4b6', '#535d5f', '#8b6e2c', '#a9966b']","#1,477 for 2019",973,12.6,25,7,9.5,10
979,72,410,"Until the Tide Creeps In","Penelope Isles","2019-07-12","The debut full-length release for the British indie pop band led by brother-and-sister Jack and Lily Wolter was produced by Dave Izumi.",2019,3.24,"Indie Pop, Slacker Rock, Dream Pop
Dream Pop, Surf Rock","","['Chlorine', 'Round', 'Not Talking', 'Underwater Record Store', 'Three', 'Gnarborne', 'Leipzig', 'Looking for My Eyes First', 'Cut Your Hair', 'Through the Garden']","['#a5a4af', '#936768', '#3a3f67', '#6e3f51']","#1,968 for 2019",142,14.9,30,8,12.5,10
980,72,411,"Sweating the Plague","Guided Voices","2019-10-25","The third-full-length release in 2019 for the prolific band led by  Robert Pollard.",2019,3.5,"","","[]","[]","",1,5.33333333333333,11,3,5,12
981,72,412,"Stunning Luxury","Snapped Ankles","2019-03-01","The second full-length release for the British ""punktronica"" band was mixed by Danalogue.",2019,3.3,"Dance-Punk, Post-Punk
Minimal Synth, Synth Punk","English","['Pestisound (Moving Out)', 'Tailpipe', 'Letter from Hampi Mountain', 'Rechargeable', 'Delivery Van', 'Three Steps to a Development', 'Skirmish in the Suburbs', 'Dial the Rings on a Tree', 'Drink and Glide', 'Dream and Formaldehyde']","['#c861b4', '#ea9fe2', '#d860c1', '#d546b2', '#c0bec5', '#bdb2be', '#cf2794']","#732 for 2019",502,17.1,31,9,14,10
982,72,413,"Threads","Sheryl Crow","2019-08-30","The 11th full-length release for the singer-songwriter is said to be her last and features contributions from Brandi Carlile, Chuck D, Eric Clapton, Gary Clark, Jr., Andra Day, Vince Gill, Emmylou Harris, Jason Isbell, Kris Kristofferson, Lucius, Maren Morris, Lukas Nelson, Stevie Nicks, Margo Price, Bonnie Raitt, Keith Richards, St Vincent, Mavis Staples, Chris Stapleton, Sting, James Taylor, and Joe Walsh.",2019,3.11,"Singer-Songwriter
Roots Rock, Country Rock","English","['Prove You Wrong', 'Live Wire', ""Tell Me When It's Over"", 'Story of Everything', 'Beware of Darkness', 'Redemption Day', 'Cross Creek Road', 'Everything Is Broken', 'The Worst', 'Lonely Alone', 'Border Lord', 'Still the Good Old Days', ""Wouldn't Want to Be Like You"", ""Don't"", ""Nobody's Perfect"", 'Flying Blind', 'For the Sake of Love']","['#6e5f4c', '#8e979c', '#b7c4ca', '#a8b6b7', '#8b9a9f', '#a9aaa2', '#f2dcb5']","",112,25.3529411764706,38,15,26,17
983,72,414,"Czarface Meets Ghostface","Czarface","2019-02-15","The latest comic book-inspired hip-hop release for Czarface is a collaboration with Ghostface Killah.",2019,3.05,"Boom Bap, East Coast Hip Hop, Hardcore Hip Hop
Abstract Hip Hop","English","['Back at Ringside', 'Face Off', 'Iron Claw', 'Czarrcade ’87', 'Powers and Stuff', 'Masked Superstars', 'Morning Ritual', 'Super Soldier Serum', 'The King Heard Voices', 'Listen to the Color', 'Mongolian Beef', '(Post Credits Scene)']","['#4380bf', '#9ea1a6', '#80837c', '#912211', '#4984c8', '#f41e26', '#6d6e82', '#727c97', '#9394a9']","#1,260 for 2019",1582,22.8333333333333,30,19,22,12
984,71,415,"Good Fruit","TEEN","2019-03-01","The fourth full-length release for the Lieberson sisters was self-produced.",2019,2.84,"Art Pop, Synthpop","","['Popular Taste', 'Ripe', 'Only Water', 'Radar', 'Connection', 'Luv 2 Luv', 'Shadow', 'Runner', 'Putney', 'Pretend']","['#848d8c', '#65262f', '#5a857c', '#79452f']","",51,7.2,9,6,7,10
985,71,416,"One of the Best Yet","Gang Starr","2019-11-15","The first full-length release from the rap group in 16 years features vocals from Guru, who died in 2010 and guest appearances from Big Shug, J. Cole, Freddie Foxxx, Group Home, Jeru The Damaja, Talib Kweli, M.O.P., Ne-Yo, Nitty Scott, Q-Tip, and Royce Da 5'9"".",2019,3.45,"East Coast Hip Hop, Boom Bap
Conscious Hip Hop, Jazz Rap","","['The Sure Shot (Intro)', 'Lights Out', 'Bad Name', 'Hit Man', ""What's Real"", 'Keith Casim Elam (Interlude)', 'From a Distance', 'Family and Loyalty', 'Get Together', 'NYGz/GS 183rd (Interlude)', 'So Many Rappers', 'Business or Art', 'Bring It Back Here', 'One of the Best Yet (Big Shug Interlude)', 'Take Flight (Militia, Pt. 4)', 'Bless the Mic']","['#a3a6b7', '#8691a7', '#9fa8a7', '#68696e', '#b5b7b2', '#81939f']","#329 for 2019",1320,27.6875,53,0,25.5,16
986,71,417,"Heard It in a Past Life","Maggie Rogers","2019-01-18","The debut full-length major label release for the singer-songwriter features contributions from such artists as Rostam Batmanglij, Kid Harpoon, Greg Kurstin, and Ricky Reed.",2019,2.9,"Synthpop, Alt-Pop
Electropop, Dance-Pop, Folk Pop","English","['Give a Little', 'Overnight', 'The Knife', 'Alaska', 'Light On', 'Past Life', 'Say It', 'On + Off', 'Fallingwater', 'Retrograde', 'Burning', 'Back in My Body']","['#733121', '#286077', '#55798f', '#235975']","#1,518 for 2019",1585,55.0833333333333,66,45,54,12
987,71,418,"In the Spirit World Now","Ceremony","2019-08-23","The sixth full-length release for the Northern California punk band is its first on the Relapse label.",2019,2.9,"Post-Punk, New Wave
Synth Punk","","['Turn Away the Bad Thing', 'In the Spirit World Now', 'Further I Was', '/', 'Presaging the End', 'Say Goodbye to Them', 'We Can Be Free', '//', 'Years of Love', 'Never Gonna Die Now', 'I Want More', 'From Another Age', '///', 'Calming Water']","['#ef9b41', '#f5561e', '#3da88e', '#eac930']","#1,586 for 2019",329,16.1428571428571,33,0,18.5,14
988,71,419,"Death Becomes Her","Angel-Ho","2019-03-01","The South African DJ/electronic producer's first full-length release on the Hyperdub label features guest appearances from K-$, K Rizz and Queezy.",2019,2.81,"Deconstructed Club, Hip House, Experimental Hip Hop
Ballroom, Gqom, Sound Collage, Dance-Pop, Epic Collage, Alternative R&B","English","['Business', 'Drama', 'Like a Girl', 'Jacomina', 'Muse to You', 'Good Friday Daddy', 'Cupido', 'Live', 'Destify', 'Pose', 'Bussy', 'Baby Tee', 'Like That', 'Parachute']","['#8c3524', '#cd5739', '#7a817a', '#bd9482']","#1,902 for 2019",268,0.142857142857143,2,0,0,14
989,71,420,"Romance","Camila Cabello","2019-12-06","The second full-length solo release for the former Fifth Harmony singer features guest appearances from DaBaby and Shawn Mendes.",2019,2.37,"Pop, Contemporary R&B
Electropop, Dance-Pop","English","['Shameless', 'Living Proof', ""Should've Said It"", 'My Oh My', 'Señorita', 'Liar', 'Bad Kind of Butterflies', 'Easy', 'Feel It Twice', 'Dream of You', 'Cry for Me', 'This Love', 'Used to This', 'First Man']","['#8f857c', '#837e7b', '#6e3a2c', '#ca180e']","",780,58.6428571428571,75,51,57,14
990,71,421,"Hurts 2B Human","P!nk","2019-04-26","Th eighth full-length release for the pop singer-songwriter features guest appearances from Cash Cash, Khalid, Chris Stapleton, and Wrabel.",2019,2.07,"Adult Contemporary
Electropop, Dance-Pop, Pop Rock","English","['Hustle', '(Hey Why) Miss You Sometime', 'Walk Me Home', 'My Attic', '90 Days', 'Hurts 2B Human', 'Can We Pretend', 'Courage', 'Happy', 'We Could Have It All', 'Love Me Anyway', 'Circle Game', 'The Last Song of Your Life']","['#cb4665', '#b57a40', '#8f1b30', '#012758', '#c17d7e', '#53452a', '#670c15', '#9c8e9f', '#646965', '#64857c']","",385,37.5384615384615,66,21,35,13
991,71,422,"Girl","Girl Ray","2019-11-22","The second full-length release for the British indie-pop trio was produced by Ash Workman.",2019,2.92,"Indie Pop
Alternative R&B","","['Girl', 'Show Me More', 'Just Down the Hall', 'Because', 'Let It Go', 'Takes Time', 'Friend Like That', 'Keep It Tight', 'Go to the Top', 'Beautiful', 'Like the Stars']","['#b6a39c', '#bdb9a8', '#84151b', '#816456', '#82988c', '#ce2f33', '#71382f', '#585252']","",101,11.3636363636364,39,3,7,11
992,71,423,"Spirit Counsel","Thurston Moore","2019-09-20","The latest solo release for the Sonic Youth artist features three extended instrumental experimental tracks.",2019,3.43,"Post-Rock, Experimental Rock
Noise, Space Rock, Totalism, Drone, Noise Rock","","['Alice Moki Jayne', '8 Spring Street', 'Galaxies']","['#88898d', '#584831', '#6e481b', '#be701e']","#389 for 2019",339,3.33333333333333,6,1,3,3
993,71,424,"Lust for Youth","Lust for Youth","2019-06-07","The latest release for the Scandinavian synth/electro-pop duo of Hannes Norrvide and Loke Rahbek was produced by Malthe Fischer.",2019,3.23,"Synthpop, Alternative Dance
New Wave, Euro House","English","['New Balance Point', 'Insignificant', 'Venus De Milo', 'Great Concerns', 'Fifth Terrace', 'Adrift', 'Imola', 'By No Means']","['#515da7', '#0e238c', '#7f8ac2', '#00158a']","#885 for 2019",480,16.5,22,12,16,8
994,71,425,"I","Föllakzoid","2019-08-02","The fourth full-length studio release for the Chilean duo recorded their parts individually and then had Uwe Schmidt to assemble them into four tracks.",2019,3.31,"Minimal Techno
Drone, Post-Rock","","['I', 'II', 'III', 'IIII']","['#7a7a7a', '#cccccc']","#696 for 2019",481,24.8,32,16,25,5
995,71,426,"The Big Day","Chance the Rapper","2019-07-26","The debut full-length studio release for the Chicago rapper features guest appearances from Taylor Bennett, Francis And The Lights, Ben Gibbard, Gucci Mane, John Legend, Megan Thee Stallion, Shawn Mendes, Nicki Minaj, Smino and Justin Veron.",2019,1.27,"Pop Rap
Contemporary R&B, Conscious Hip Hop, Neo-Soul, Christian Hip Hop, Trap","English","['All Day Long', 'Do You Remember', 'Eternal', 'Hot Shower', 'We Go High', 'I Got You (Always and Forever)', 'Photo Ops (Skit)', 'Roo', 'The Big Day', ""Let's Go on the Run"", 'Handsome', 'Big Fish', 'Ballin Flossin', '4 Quarters in the Black (Skit)', '5 Year Plan', 'Get a Bag', 'Slide Around', 'Sun Come Down', 'Found a Good One (Single No More)', 'Town on the Hill', 'Our House (Skit)', 'Zanies and Fools']","['#b67162', '#b8c0a9', '#b4b0ae', '#7a7a7a']","",6704,43.9,61,31,43,20
996,70,427,"From Out of Nowhere","Jeff Lynne's ELO","2019-11-01","The latest full-length release for the reformed British rock band was produced by Lynne with contributions from album engineer Steve Jay.",2019,3.07,"Pop Rock
Symphonic Rock","English","['From Out of Nowhere', 'Help Yourself', 'All My Love', 'Down Came the Rain', 'Losing You', 'One More Time', 'Sci-Fi Woman', 'Goin’ Out on Me', 'Time of Our Life', 'Songbird']","['#7a7d90', '#9b9fa8', '#5d4847', '#948655']","#1,226 for 2019",453,26,26,26,26,1
997,70,428,"Vol. 4 :: Slaves of Fear","HEALTH","2019-02-08","The fourth full-length studio release for the Los Angeles noise rock band was produced by Lars Stalfors.",2019,3.21,"Electro-Industrial, Electropop, Industrial Rock
EBM, Witch House","English","['Psychonaut', 'Feel Nothing', 'God Botherer', 'Black Static', 'Loss Deluxe', 'NC-17', 'The Message', 'Rat Wars', 'Strange Days (1999)', 'Wrong Bag', 'Slaves of Fear', 'Decimation']","['#e83f42', '#afb0ab', '#999288', '#868982']","#919 for 2019",1706,35.8333333333333,49,27,35.5,12
998,70,429,"Lookout Low","Twin Peaks","2019-09-13","The fourth full-length release for the Chicago garage-rock band was produced by Ethan Johns.",2019,3.05,"Indie Rock
Americana","English","[""Casey's Groove"", 'Laid in Gold', 'Better Than Stoned', 'Unfamiliar Sun', 'Dance Through It', 'Lookout Low', 'Ferry Song', 'Under a Smile', 'Oh Mama', 'Sunken II']","['#999999', '#134874', '#6f6534', '#8e8830']","",179,21.5,33,13,21,10
999,70,430,"Not Waving, But Drowning","Loyle Carner","2019-04-19","The English hip-hop artist follows his Mercury Prize-nominated 2017 debut with his second LP. And it's perhaps the first rap album in history to feature a song about celebrity chef Yotam Ottolenghi. Collaborators include Sampha, Jorja Smith, Jordan Rakei, and Tom Misch.",2019,3.41,"UK Hip Hop, Jazz Rap, Neo-Soul
Boom Bap, Conscious Hip Hop","English","['Dear Jean', 'Angel', 'Ice Water', 'Ottolenghi', 'You Don’t Know', 'Still', 'It’s Coming Home?', 'Desoleil (Brilliant Corners)', 'Loose Ends', 'Not Waving, But Drowning', 'Krispy', 'Sail Away Freestyle', 'Looking Back', 'Carluccio', 'Dear Ben']","['#4a5358', '#59686d', '#666f74', '#8b8279']","#424 for 2019",1011,52.2,64,40,51,15
1000,70,431,"Everybody's Everything","Lil Peep","2019-11-15","The second posthumous release for the rapper features some previously released tracks as well as some unreleased ones that features collaborations with Era, Gab3, iLoveMakonnen, Lil Tracy, and Rich the Kid.",2019,2.27,"Emo Rap, Cloud Rap, Trap
Pop Rap, Trap","English","['Liar', 'AQUAFINA', 'RATCHETS', 'Fangirl', 'LA to London', 'Rockstarz', 'Text Me', 'PRINCESS', 'Moving On', 'Belgium', 'When I Lie', ""I've Been Waiting (Original Version)"", 'Live Forever', 'ghost boy', 'Keep My Coo', 'white tee', 'cobain', 'witchblades', 'walk away as the door slams (acoustic)']","['#8d8c88', '#c7b5ab', '#a07564', '#d7ad97', '#ca9b87', '#b0a098']","",1458,33.1578947368421,57,0,51,19
1001,70,432,"Buoys","Panda Bear","2019-02-08","The sixth full-length solo release for Noah Lennox as Panda Bear was co-produced and co-mixed with Rusty Santos.",2019,2.66,"Folktronica, Neo-Psychedelia, Psychedelic Folk
Psychedelic Pop","English","['Dolphin', 'Cranked', 'Token', ""I Know I Don't Know"", 'Master', 'Buoys', 'Inner Monologue', 'Crescendo', 'Home Free']","['#c5c1be', '#4ea7e1', '#b4d9e9', '#fa849e', '#908e9b', '#fd5960', '#ac9695', '#376589', '#7a7c88', '#a1b4b8']","",2457,17.8888888888889,23,13,17,9
1002,70,433,"Still on My Mind","Dido","2019-03-08","The fifth full-length studio release for the British singer-songwriter was produced with (her brother) Rollo Armstrong, Simon Hulbert and Ryan Laubscher.",2019,3.05,"Downtempo, Pop
Synthpop, Dance-Pop, Adult Contemporary","English","['Hurricanes', 'Give You Up', 'Hell After This', ""You Don't Need a God"", 'Take You Home', 'Some Kind of Love', 'Still on My Mind', 'Mad Love', 'Walking By', 'Friends', 'Chances', 'Have to Stay']","['#8e8f91', '#4990d2', '#385c6a', '#db3c52', '#4e7abb']","#1,277 for 2019",448,39.4166666666667,52,31,38,12
1003,70,434,"Fever Dream","Of Monsters and Men","2019-07-26","The third full-length release for the Icelandic band was co-produced with Rich Costey.",2019,2.65,"Indie Pop, Pop Rock
Synthpop, Alt-Pop","English","['Alligator', 'Ahay', 'Róróró', 'Waiting for the Snow', 'Vulture, Vulture', 'Wild Roses', 'Stuck in Gravity', 'Sleepwalker', 'Wars', 'Under a Dome', 'Soothsayer']","['#e14874', '#ea929e', '#c4acae', '#890026']","",565,43.5454545454545,56,35,42,11
1004,70,435,"Inflorescent","Friendly Fires","2019-08-16","The third full-length release for the British dance-rock trio is its first in eight years.",2019,3.29,"Dance-Pop, Nu-Disco
Acid House, Funktronica, Garage House, Deep House, Balearic Beat","English","[""Can't Wait Forever"", 'Heaven Let Me In', 'Silhouettes', 'Offline', 'Sleeptalking', 'Kiss and Rewind', 'Love Like Waves', 'Lack of Love', 'Cry Wolf', 'Almost Midnight', 'Run the Wild Flowers']","['#7fcde3', '#6bfbe0', '#9eb1f6', '#aa94b8', '#928b7a', '#b6b9be']","#724 for 2019",460,29.3636363636364,41,18,31,11
1005,70,436,"Dream Is U","Francis Lung","2019-08-02","The debut full-length solo release for ex-WU LYF member Tom McClung was produced by Brendan Williams.",2019,2.97,"Indie Pop
Bedroom Pop","English","['I Wanna Live in My Dreams', '2 Real', 'Do Ya', 'Comedown', 'Unnecessary Love', 'A Dream Is U', 'I Do Believe in U', 'Up & Down', 'Invisible', 'The Lie']","['#b39492', '#bda5a7', '#d9bab8', '#755654']","",38,1.8,11,0,0,10
1006,70,437,"Kind Heaven","Perry Farrell","2019-06-07","The first solo full-length release in 18 years for the Jane's Addiction frontman was produced with Tony Visconti and features contributions from his wife Etty Lau Farrell, the Cars' Elliott Easton, Dhani Harrison, and Foo Fighters’ Taylor Hawkins.",2019,2.57,"Alternative Rock
Neo-Psychedelia, Hard Rock","English","['(Red, White, and Blue) Cheerfulness', 'Pirate Punk Politician', 'Snakes Have Many Hips', 'Machine Girl', 'One', 'Where Have You Been All My Life', 'More Than I Could Bear', 'Spend the Body', ""Let's All Pray for This World""]","['#e794a6', '#999883', '#c9bba1', '#918b7d', '#75778c', '#ac3c6e', '#765c5f']","",80,8.22222222222222,23,4,5,9
1007,70,438,"4REAL 4REAL","YG","2019-05-24","The fourth full-length studio release for the Southern California rapper features guest appearances from Boogie, DaBaby, Day Sulan, G-Eazy, Kamaiyah, Jon Z, Meek Mill, Mitch, Arin Ray, RJ, Rose Gold, SAFE, Ty Dolla $ign, Tyga, and Valee.",2019,2.51,"West Coast Hip Hop, Pop Rap, Trap
Gangsta Rap, Hyphy","English","['Hard Bottoms & White Socks', 'Bottle Service', 'In the Dark', 'Go Loko', 'Stop Snitchin', 'I Was on the Block', 'Keshia Had a Baby', 'Heart 2 Heart', 'Play Too Much', 'Do Not Disturb', 'Do Yo Dance', 'Her Story', 'My Last Words (Nipsey Tribute)', 'Stop Snitchin (Remix)']","['#c0c4c1', '#b6b3a2', '#a1a7a7', '#6f7a74', '#a0a9b0', '#3e525d']","",858,43.2857142857143,66,24,41,14
1008,70,439,"Madame X","Madonna","2019-06-14","The 14th full-length studio release for the pop artist features guest appearances from Anitta, Maluma, Quavo, and Swae Lee.",2019,2.42,"Pop
Art Pop, Dance-Pop, Electropop, Contemporary R&B, Latin Pop, Alt-Pop","English, Portuguese, Spanish","['Medellín', 'Dark Ballet', 'God Control', 'Future', 'Batuka', 'Killers Who Are Partying', 'Crave', 'Crazy', 'Come Alive', 'Faz gostoso', ""Bitch I'm Loca"", ""I Don't Search I Find"", 'I Rise']","['#7a7a7a', '#cccccc']","",1613,39.2,54,31,37,15
1009,70,440,"Snaxx","Mndsgn","2019-06-14","The fifth full-length studio release for the Los Angeles-based electronic/hip-hop producer features guest appearances from Jon Bap, Asal Hazel and Pink Siifu.",2019,3.27,"Wonky, Downtempo, Instrumental Hip Hop
Illbient, Neo-Psychedelia, Lo-Fi Hip Hop","English","['Comethru', 'Spreads', 'Papayaberry', 'Hydration Station', 'Browneez', 'Sumdim', 'Over Ez', 'Deviled Eggs', 'Cashoos', 'Slappppp', 'Chips', 'Unnecessary', 'Snaxx w U', 'Ggardenn']","['#7a7a7a', '#cccccc']","#1,307 for 2019",228,23.7857142857143,46,16,22,14
1010,70,441,"This Is Not a Safe Place","Ride","2019-08-16","The sixth full-length studio release for the British shoegaze band was produced by Erol Alkan and mixed by Alan Moulder with Caesar Edmunds.",2019,3.24,"Alternative Rock
Dream Pop, Shoegaze, Jangle Pop, Space Rock Revival","English","['R.I.D.E.', 'Future Love', 'Repetition', 'Kill Switch', 'Clouds of Saint Marie', 'Eternal Recurrence', 'Fifteen Minutes', 'Jump Jet', 'Dial Up', 'End Game', 'Shadows Behind the Sun', 'In This Room']","['#9d9d9d', '#6f6e6a', '#7eaf3c', '#b3b3b3']","#872 for 2019",1102,11.5,23,7,11,12
1011,70,442,"Something Like a War","Kindness","2019-09-06","The third full-length release for Adam Bainbridge features guest appearances from Bahamadia, Cosima, Nadia Nair, Robyn, Seinabo Sey, Samthing Soweto, and Jazmine Sullivan.",2019,3.19,"Alternative R&B, Sophisti-Pop, Alt-Pop
Ambient Pop, Synth Funk, Nu-Disco, Deep House","English","['Sibambaneni', 'Raise Up', 'Lost Without', 'Softness as a Weapon', 'Hard to Believe', 'Who You Give Your Heart To', ""Samthing's Interlude"", 'Dreams Fall', 'The Warning', 'Cry Everything', 'No New Lies', 'Something Like a War', 'Call It Down']","['#c796e8', '#b18582', '#5a262a', '#e2b9f3', '#e0acf6', '#7c2d33']","#1,591 for 2019",203,25.2307692307692,39,15,21,13
