"Metacritic_Score","Album_Name","Singer","Release_Date","Desciption","User_Score","Release_Year"
79,"Consummation","Katie von Schleicher",2020-05-22,"The latest full-length solo release for the Brooklyn-based indie artist was produced with Adam Brisbin and Julian Fader.",NA,2020
79,"Walking Like We Do","The Big Moon",2020-01-10,"The second full-length release for the British pop quartet led by Juliette Jackson was produced by Ben H. Allen.",6.2,2020
79,"Visions of Bodies Being Burned","clipping.",2020-10-23,"The fourth full-length studio release for the Los Angeles experimental rap trio features guest appearances from Ted Byrnes, Cam, China, Michael Esposito, Ho99o9, Jeff Parker, SICKNESS, and Greg Stuart.",8.4,2020
79,"Shame","Uniform",2020-09-11,"The fourth full-length release for the New York industrial metal trio was mixed by Randall Dunn.",NA,2020
79,"I Love the New Sky","Tim Burgess",2020-05-22,"The fifth full-length solo release for the frontman of The Charlatans was produced with Grumbling Fur's Daniel O'Sullivan.",8.3,2020
79,"925","Sorry",2020-03-27,"The debut full-length release for the British indie pop group led by Asha Lorenz and Louis O’Bryen was produced by James Dring.",8.2,2020
79,"Shadow of Fear","Cabaret Voltaire",2020-11-20,"Richard H. Kirk returns solo for Cabaret Voltaire's first studio release in 26 years.",NA,2020
79,"Are You in Love?","Basia Bulat",2020-03-27,"The fifth full-length release for the Canadian singer-songwriter was produced by Jim James.",7.8,2020
79,"Through Water","Låpsley",2020-03-20,"The second full-length release for the British electronic pop artist was self-produced.",8.1,2020
79,"The Slow Rush","Tame Impala",2020-02-14,"The fourth full-length studio release for Kevin Parker's project was recorded in Los Angeles and Australia.",8.4,2020
79,"Miss Anthropocene","Grimes",2020-02-21,"Climate change is theme for the fifth full-length release from the Canadian artist.",8.7,2020
79,"Power Up","AC/DC",2020-11-13,"The 17th full-length studio release for the Australian hard rock band was produced by Brendan O'Brien.",8.6,2020
79,"Featuring Ty Dolla $ign","Ty Dolla $ign",2020-10-23,"The third full-length studio release for the hip hop/R&B artist features guest appearances from 6LACK, Jhené Aiko, Anderson .Paak, Big Sean, FKA twigs, Future, Gunna, Tish Hyman, Kid Cudi, Kehlani, Lil Durk, Nicki Minaj, Musiq Soulchild, Mustard, Post Malone, Quavo, Roddy Ricch, Skrillex, Thundercat, Kanye West, and Young Thug.",8.1,2020
79,"XOXO","The Jayhawks",2020-07-10,"The 11th full-length studio release for the Minnesota alt-country band was recorded over two weeks.",8,2020
79,"Book of Curses","Adulkt Life",2020-11-06,"This is the debut full-length release for the punk band that includes Huggy Bear's Chris Rowley, Male Bonding's John Arthur Webb and Kevin Hendrick, and Sonny Barrett.",NA,2020
79,"Somewhere","Gum Country",2020-06-19,"The debut full-length release for the Canadian indie rock duo of Courtney Garvin and Connor Mayer was recorded and mixed by Joo-Joo Ashworth.",NA,2020
79,"Pure Luxury","NZCA Lines",2020-07-10,"The third full-length release for the project of Michael Lovett features guest appearances from Amber Strother of King and VIAA.",NA,2020
79,"E3 AF","Dizzee Rascal",2020-10-30,"The seventh full-length studio release for the British rapper features guest appearances from Chip, D Double E, Frisco, Ghetts, Alicaì Harley, Kano, P Money, Ocean Wisdom, Rob Jones TV, Smoke Boys, and Steel Banglez.",NA,2020
79,"I Grow Tired But Dare Not Fall Asleep","Ghostpoet",2020-05-01,"The fifth full-length release for the British artist features guest appearances from Art School Girlfriend, Katie Dove Dixon, Skinny Girl Diet's Delilah Holiday, and SaraSara.",8.3,2020
79,"Our Two Skins","Gordi",2020-06-26,"The second full-length release for the Australian singer-songwriter was co-produced with Chris Messina and Zach Hanson.",7.4,2020
79,"Healing Is a Miracle","Julianna Barwick",2020-07-10,"The fourth full-length release for the Brooklyn-based experimental artist features guest appearances from Jónsi, Mary Lattimore and Nosaj Thing.",8.1,2020
79,"Jump Rope Gazers","The Beths",2020-07-10,"The second full-length release for the New Zealand indie pop quartet was produced by the band's guitarist Jonathan Pearce and lead singer Elizabeth Stokes.",8.1,2020
78,"Bonny Light Horseman","Bonny Light Horseman",2020-01-24,"The debut full-length release for the trio that includes Anaïs Mitchell, Josh Kaufman and Eric D. Johnson includes new interpretations of traditional folk songs, many hundreds of years old.",7.7,2020
78,"Sam Amidon","Sam Amidon",2020-10-23,"The latest full-length release for the singer-songwriter is a covers album and features a guest appearance from Beth Orton.",NA,2020
78,"Blackbirds","Bettye LaVette",2020-08-28,"The latest full-length release for the R&B singer features songs sung by other female artists and was produced by Steve Jordan.",NA,2020
78,"Karma & Desire","Actress",2020-10-23,"The latest full-length release for British electronic artist Darren Cunningham as Actress features guest appearances from Aura T-09, Vanessa Benelli, Sampha, Christel Well, and Zsela.",4.3,2020
78,"Getting Into Knives","The Mountain Goats",2020-10-23,"The latest full-length release for the indie folk band led by John Darnielle features a guest appearance from Charles Hodges and was produced by Matt Ross-Spang.",8.3,2020
78,"The Prettiest Curse","Hinds",2020-06-05,"The third full-length release for the Spanish indie rock band was produced by Jenn Decilveo.",7.7,2020
78,"Trip","Lambchop",2020-11-13,"The latest full-length release for the alt-country band led by Kurt Wagner is covers album with each member selecting one song for the for the group to cover.",NA,2020
78,"Rakka","Vladislav Delay",2020-02-28,"The latest full-length release for the Finnish electronic producer Sasu Ripatti is his first credited under his Vladislav Delay moniker in six years.",NA,2020
78,"Apple","A.G. Cook",2020-09-18,"The second full-length release in 2020 for the British electronic producer features contributions from Hannah Diamond and Caroline Polachek.",7.6,2020
78,"I Was Born Swimming","Squirrel Flower",2020-01-31,"The debut full-length release for the Boston singer-songwriter Ella Williams was recorded in New York City with producer Gabe Wax.",8.2,2020
78,"Cape God","Allie X",2020-02-21,"The second full-length release for the Canadian indie pop artist features guest appearances from Mitski and Troye Sivan.",8.7,2020
78,"Seeking Thrills","Georgia",2020-01-10,"The second full-length release for the British electo-pop artist features guest appearances by Maurice and Shygirl.",7.3,2020
78,"Honeymoon","Beach Bunny",2020-02-14,"The debut full-length release for the Chicago indie pop band led by Lili Trifilio was recorded with producer Joe Reinhart.",8.2,2020
78,"Hey U x","BENEE",2020-11-13,"The debut full-length release for the New Zealand alternative pop artist features guest appearances from Lily Allen, Bakar, Kenny Beats, Gus Dapperton, Flo Milli, Grimes, Mallrat, and Muoki.",8.6,2020
78,"S&M2 [Live]","Metallica",2020-08-28,"The live album of the metal band performing with the San Francisco Symphony at San Francisco's Chase Center features songs recorded over two nights in September 2019.",6,2020
78,"Your Hero Is Not Dead","Westerman",2020-06-05,"The debut full-length release for the London-based singer-songwriter was recorded with Nathan Jenkins (aka Bullion) in Portugal.",8.4,2020
78,"All or Nothing","Shopping",2020-02-07,"The fourth full-length release for the post-punk trio was mixed and produced by Nick Sylvester.",8,2020
78,"Italian Ice","Nicole Atkins",2020-05-29,"The fifth full-length release for the New Jersey singer-songwriter was co-produced with Ben Tanner with contributions from Seth Avett, Britt Daniel, David Hood, Spooner Oldham, Erin Rae, McKenzie Smith, and John Paul White.",8.7,2020
78,"What's New, Tomboy?","Damien Jurado",2020-05-01,"The latest full-length release for the singer-songwriter from Seattle was self-produced.",8.3,2020
78,"Swimmer","Tennis",2020-02-14,"The fifth full-length release for the indie pop husband-and-wife duo of Alaina Moore and Patrick Riley was self-produced and mixed by Claudius Mittendorfer.",8.5,2020
78,"Made Of Rain","The Psychedelic Furs",2020-07-31,"The first new full-length studio release for the English alternative rock band since 1991's World Outside was produced with Richard Fortus.",7.9,2020
78,"Flower of Devotion","Dehd",2020-07-17,"The third full-length release for the Chicago trio was produced by the band's guitarist, Jason Balla.",8.3,2020
78,"Ordinary Man","Ozzy Osbourne",2020-02-21,"The 12th full-length solo studio release for the Black Sabbath singer features guest appearances from Elton John, Post Malone and Travis Scott.",7.8,2020
78,"Fungus II","Wasted Shirt",2020-02-28,"The debut full-length release for the collaborative project of Lightning Bolt's Brian Chippendale and Ty Segall was recorded at Segall's house.",NA,2020
78,"Deep Down Happy","Sports Team",2020-06-05,"The debut full-length release for the the British indie rock band led by by Alex Rice was produced by Burke Reid.",4.4,2020
78,"Haunted Painting","Sad13",2020-09-25,"The second full-length release for the solo project of Sadie Dupuis was mixed by Sarah Tudzin.",8.2,2020
78,"Hey Clockface","Elvis Costello",2020-10-30,"The latest full-length solo release for the British singer-songwriter  was produced with Sebastian Krys and recorded in Helsinki, New York and Paris.",8,2020
78,"Storm Damage","Ben Watt",2020-01-31,"The fourth full-length solo release for the former Everything But The Girl member features a guest appearance from Alan Sparhawk of Low.",NA,2020
77,"The Main Thing","Real Estate",2020-02-28,"The fifth full-length release for the New Jersey indie rock band features a guest appearance from Sylvan Esso.",7.9,2020
77,"Dream Nails","Dream Nails",2020-08-28,"The second full-length release for the British all-female punk/riot grrrl band was produced and mixed by Tarek Musa.",NA,2020
77,"Alicia","Alicia Keys",2020-09-18,"The seventh full-length studio release for the R&B artist features guest appearances from Snoh Aalegra, Diamond Platnumz, Khalid, Miguel, Sampha, Jill Scott, and Tierra Whack.",8.5,2020
77,"Daughter","Lydia Loveless",2020-09-25,"The latest full-length release for the Ohio singer-songwriter was recorded in Chicago with producer Tom Schick.",NA,2020
77,"Have You Lost Your Mind Yet?","Fantastic Negrito",2020-08-14,"The latest full-length release for the two-time Grammy winner was inspired by socially and politically-aware albums from 1960s-70s.",NA,2020
77,"Silver Tongue","Torres",2020-01-31,"The fourth full-length release for the Nashville-based singer-songwriter was recorded in Brooklyn and is her first on the Merge label.",8.5,2020
77,"Waterfall II","My Morning Jacket",2020-07-10,"The eighth full-length release for the rock band led by Jim James features 10 tracks from the same recording sessions as 2015's The Waterfall.",8.5,2020
77,"The Baby","Samia",2020-08-28,"The debut full-length release for the New York singer-songwriter was recorded with producers Caleb Hinz, Hippo Campus' Jake Luppen and Nathan Stocker.",8.2,2020
77,"April","Emmy the Great",2020-10-09,"The fourth full-length release for the singer-songwriter was written in less than a month in 2018 after visiting her parents in Hong Kong.",NA,2020
77,"Love, Death & Dancing","Jack Garratt",2020-06-12,"The second full-length release for the British singer-songwriter  was self-produced with additional production from Brett Cox, James Flannigan and Jacknife Lee.",7.4,2020
77,"Hate for Sale","Pretenders",2020-07-17,"The 11th full-length studio release for the Chrissie Hynde-led rock band was produced by Stephen Street.",7.8,2020
77,"Blonde on the Tracks","Emma Swift",2020-08-14,"The Bob Dylan covers album from the Nashville-based Australian singer-songwriter was produced by Patrick Sansone.",NA,2020
77,"Jacqueline","Jackie Lynn",2020-04-10,"The second full-length release for the Haley Fohr music project includes the Bitchin Bajas' Cooper Crain, Rob Frye, and Dan Quinlivan.",8,2020
77,"Beat Poetry for Survivalists","Luke Haines",2020-03-06,"The debut full-length release for the collaboration between R.E.M.'s Peter Buck and The Auteurs' Luke Haines includes contributions from Scott McCaughey and Linda Pitmon.",NA,2020
77,"LP5","John Moreland",2020-02-07,"The fifth full-length solo studio release for the singer-songwriter was produced by Matt Pence.",NA,2020
77,"WE ARE CHAOS","Marilyn Manson",2020-09-11,"The 11th full-length studio release for the rock band was produced with Shooter Jennings.",8.6,2020
77,"Shadow Offering","Braids",2020-06-19,"The fourth full-length release for the Canadian art rock trio was was co-produced with Chris Walla.",7.5,2020
77,"Cantus Descant","Sarah Davachi",2020-09-18,"The latest full-length release for the Canadian composer features recordings of a variety of church organs in Amsterdam, Chicago, Vancouver, Copenhagen and Los Angeles.",NA,2020
77,"What to Look for in Summer [Live]","Belle and Sebastian",2020-12-11,"The 23-track release from the Scottish indie pop band features live tracks recorded during its 2019 world tour.",NA,2020
77,"K.G.","King Gizzard & the Lizard Wizard",2020-11-20,"The 16th full-length release for the Australian psychedelic rock band was recorded remotely from each member's home during the COVID-19 quarantine.",8.6,2020
77,"10 Songs","Travis",2020-10-09,"The ninth full-length studio release for the Scottish indie rock band led by Fran Healey features a guest appearance from the Bangles' Susanna Hoffs.",8.4,2020
77,"Breach","Fenne Lily",2020-09-18,"The second full-length release for the British singer-songwriter was recorded in Chicago with producer Brian Deck and Steve Albini.",NA,2020
77,"It Was Good Until It Wasn't","Kehlani",2020-05-08,"The second full-length studio release for the R&B artist from Oakland, California features guest appearances from Jhene Aiko, James Blake, Tony Lanez, Lucky Daye, and Masego.",8.7,2020
77,"So When You Gonna...","Dream Wife",2020-07-03,"The second full-length release for the London-based trio was produced and mixed by Marta Salogni.",8.2,2020
77,"Local Honey","Brian Fallon",2020-03-27,"The third full-length solo release for The Gaslight Anthem frontman was produced by Peter Katis.",8.4,2020
77,"El Dorado","Marcus King",2020-01-17,"The debut full-length solo release for the guitarist from South Carolina was produced by the Black Keys' Dan Auerbach.",6.9,2020
77,"SUGAREGG","Bully",2020-08-21,"The third full-length release for Alicia Bognanno's rock project was produced by John Congleton.",NA,2020
77,"Making a Door Less Open","Car Seat Headrest",2020-05-01,"The first release in four years for the band led by Will Toledo was recorded over two sessions and is said to ""contain elements of EDM, hip hop, futurism, doo-wop, soul, and of course rock and roll.""",7.4,2020
77,"The Don of Diamond Dreams","Shabazz Palaces",2020-04-17,"The fifth full-length studio release for the duo of Ishmael Butler and Tende ‘Baba’ Maraire feature guest appearances from Darius, Carlos Overall, Purple Tape Nate, and Stas THEE Boss.",8,2020
77,"Serpentine Prison","Matt Berninger",2020-10-16,"The debut full-length solo release for The National's frontman was recorded over 14 days with producer Booker T. Jones.",7.5,2020
76,"Renegade Breakdown","Marie Davidson",2020-09-25,"The Canadian dance artist returns with L'Oeil Nu (Pierre Guerineau and Asaël R. Robitaille) with a pop and rock-inspired album.",NA,2020
76,"Ultra Mono","Idles",2020-09-25,"The third full-length release for the British punk rock band features contributions from Kenny Beats.",7.7,2020
76,"Startisha","Naeem",2020-06-12,"The first full-length release for the rapper as Naeem (previous albums were under the name Spank Rock) features guest appearances Amanda Blank, Micah James, Swamp Dogg, Velvet Negroni, and Justin Vernon.",NA,2020
76,"Great Dismal","Nothing",2020-10-30,"The fourth full-length release for the Philadelphia shoegaze band led by Domenic Palermo was produced by Grant Yip.",8.1,2020
76,"Imploding the Mirage","The Killers",2020-08-21,"The sixth full-length studio release for the rock band features guest appearances from k.d. lang and Weyes Blood.",8.6,2020
76,"Illusion of Time","Daniel Avery",2020-03-27,"The debut full-length release for the collaboration between Daniel Avery and Alessandro Cortini was created over several years.",6.8,2020
76,"Sorry for the Late Reply","Sløtface",2020-01-31,"The second full-length release for the Norwegian punk-pop band includes songs about climate change, immigration, and relationships.",6.7,2020
76,"Dream On","Alice Boman",2020-01-17,"The debut full-length release for the Swedish singer-songwriter was produced by Patrik Berger.",7.5,2020
76,"Marigold","Pinegrove",2020-01-17,"The fourth full-length release for the New Jersey indie rock band was recorded in upstate New York.",6.9,2020
76,"Rare","Selena Gomez",2020-01-10,"The third full-length solo release for the pop artist features guest appearances by 6lack and Kid Cudi (plus Kygo, Gucci Mane and Marshmello on special editions).",8.7,2020
76,"Find the Sun","Deradoorian",2020-09-18,"The second full-length solo release for the former Dirty Projectors member was recorded at Stinson Beach, California with Samer Ghadry and Dave Harrington.",NA,2020
76,"Harmony Avenue","Jade Hairpins",2020-05-29,"The debut full-length release for the band that includes Jonah Falco and Mike Haliechuk of Fucked Up, Tamsin M Leach and Jack Goldstein was recorded by Alex Gamble.",NA,2020
76,"Snapshot of a Beginner","Nap Eyes",2020-03-27,"The fourth full-length release for the Canadian band led by Nigel Chapman was co-produced by Jonathan Low and James Elkington.",NA,2020
76,"Random Desire","Greg Dulli",2020-02-21,"The second full-length solo studio release for the The Afghan Whigs/The Twilight Singers member features contributions from Rick G. Nelson, Dr. Stephen Patt, Mathias Schneeberger, Jon Skibic, and Jon Theodore.",8.7,2020
76,"The Mosaic of Transformation","Kaitlyn Aurelia Smith",2020-05-15,"The eighth full-length release for the electronic composer is her first on the Ghostly International label.",NA,2020
76,"Melanie C","Melanie C",2020-10-02,"The eighth full-length solo release for the Spice Girl features a guest appearance from Nadia Rose.",8.4,2020
76,"Be Up a Hello","Squarepusher",2020-01-31,"The first new solo full-length studio release in five years for the British electronic artist features vintage analogue equipment.",6.5,2020
76,"Sing in a World That's Falling Apart","Black Lips",2020-01-24,"The ninth full-length studio release for the Atlanta garage rock band features influences from country music.",7.1,2020
76,"Ur Fun","Of Montreal",2020-01-17,"The 16th full-length studio release for the indie pop band led by Kevin Barnes features a guest appearance from Locate S,1.",6.7,2020
76,"The Neon","Erasure",2020-08-21,"The latest full-length release from the British synth-pop duo was self-produced and recorded in Atlanta.",6.6,2020
75,"Pyramid","Jaga Jazzist",2020-08-07,"The four-track album from the Norwegian ensemble was self-produced and created over two weeks in Sweden.",NA,2020
75,"Gene","LA Priest",2020-06-05,"The first full-length release for the Late Of The Pier frontman as LA Priest since 2015's Inji was co-produced with Erol Alkan.",NA,2020
75,"Beginners","Christian Lee Hutson",2020-05-29,"The first full-length release on the Anti- label for the Los Angeles-based singer-songwriter was produced by Phoebe Bridgers.",6.3,2020
75,"Legends Never Die","Juice WRLD",2020-07-10,"The posthumous release is the rapper's full-length studio album and features guest appearances from Halsey, Marshmello, Polo G, The Kid Laroi, and Trippie Redd.",8,2020
75,"Dreamland","Glass Animals",2020-08-07,"The third full-length release for the British psychedelic pop band led by Dave Bayley (who also produced the album) was executive produced by Paul Epworth.",8.4,2020
75,"Migration Stories","M. Ward",2020-04-03,"The latest full-length solo release for the singer-songwriter was recorded in Montreal with Arcade Fire's Tim Kingsbury and Richard Reed Parry, and with production from Craig Silvey and Teddy Impakt.",7.8,2020
75,"Host","Cults",2020-09-18,"The fifth full-length release for the New York duo was produced by Shane Stoneback.",NA,2020
75,"Limbo","Aminé",2020-08-07,"The second full-length studio release for the Oregon rapper features guest appearances from Injury Reserve, JID, slowthai, Vince Staples, Summer Walker, Charlie Wilson, and Young Thug.",8.2,2020
75,"HUMANIST","Humanist",2020-02-21,"The debut full-length release for Exit Calm guitarist Rob Marshall features vocals from Joel Cadbury, Dave Gahan, Mark Gardener, Carl Hancock Rux, Jim Jones, Mark Lanegan, Ilse Maria, John Robb, and Ron Sexsmith.",NA,2020
75,"Future Teenage Cave Artists","Deerhoof",2020-05-29,"The 15th full-length studio release for the San Francisco indie/experimental pop band was self-produced.",8.6,2020
75,"The New Abnormal","The Strokes",2020-04-10,"The first new full-length studio release in seven years for the New York rock bad was produced by Rick Rubin.",8.9,2020
75,"Hotspot","Pet Shop Boys",2020-01-24,"The 14th full-length studio release for the British synth-pop duo features a guest appearances from Years & Years and was produced by Stuart Price.",7.6,2020
75,"Arrow","Noveller",2020-06-12,"The ninth full-length release for Sarah Lipstate as Noveller was recorded in Los Angeles.",NA,2020
75,"ACCA","Ala.Ni",2020-01-31,"The second full-length release for the Paris-based British singer features guest appearances from Iggy Pop and Lakeith Stanfield.",NA,2020
75,"Muzz","Muzz",2020-06-05,"This is the debut full-length release for the indie rock project that includes Interpol's Paul Banks, The Walkmen's Matt Barrick, and Bonny Light Horseman's Josh Kaufman.",8.7,2020
75,"Hyacinth","Spinning Coin",2020-02-21,"The second full-length release for the Glasgow-based indie rock band is the first with Rachel Taylor, who took over for the departing Cal Donnelly.",NA,2020
75,"Songs for the General Public","The Lemon Twigs",2020-08-21,"The third full-length release for the brother duo of Brian and Michael D'Addario was self-produced and recorded.",7.6,2020
75,"Will This Make Me Good","Nick Hakim",2020-05-15,"The second full-length release for the Brooklyn-based artist was produced by Andrew Sarlo.",NA,2020
75,"Plastic Hearts","Miley Cyrus",2020-11-27,"The seventh full-length studio album from Miley Cyrus features guest appearances from Dua Lipa, Billy Idol and Joan Jett.",9,2020
75,"Whole Lotta Red","Playboi Carti",2020-12-25,"The second full-length studio release for the Atlanta rapper features guest appearances from Future, Kid Cudi and Kanye West.",7.5,2020
75,"First Rose of Spring","Willie Nelson",2020-07-03,"The latest full-length release for the country singer-songwriter features two new songs and was produced by Buddy Cannon.",NA,2020
75,"The Glow","DMA's",2020-07-10,"The third full-length studio release for the Australian trio was produced by Stuart Price.",8.4,2020
75,"Quickies","Magnetic Fields",2020-05-15,"The 12th full-length release for the band led by Stephen Merritt features songs as short as 13 seconds to just over two and a half minutes.",6.4,2020
75,"What You Gonna Do When the Grid Goes Down?","Public Enemy",2020-09-25,"The 15th full-length studio release for the rap group features guest appearances from Ad-Rock, Black Thought, George Clinton, Daddy-O, DJ Premier, Ice-T, Jahi, James Bomb, Mark Jenkings, Mike D, Ms. Ariel, Nas, PMD, Pop Diesel, Questlove, Rapsody, Run-DMC, The Impossebulls, and YG.",8,2020
75,"Far Enough","Cable Ties",2020-03-27,"The second full-length release for the Australian punk trio of Jenny McKechnie, Nick Brown and Shauna Boyle was produced by Paul Maybury.",NA,2020
75,"Silver Landings","Mandy Moore",2020-03-06,"The first new full-length release in over a decade from the pop artist/actor was produced by Mike Viola.",8.3,2020
75,"Deleter","Holy Fuck",2020-01-17,"The fifth full-length release for the Canadian electronic band  features guest appearances from Nicholas Allbrook, Angus Andrew and Alexis Taylor.",7.4,2020
74,"Odin's Raven Magic","Sigur Rós",2020-12-04,"The recording of the collaboration between the Icelandic band, Hilmar Örn Hilmarsson, Steindór Andersen and Maria Huld Markan Sigfúsdóttir with the Schola Cantorum of Reykjavík and L’Orchestre des Laureats du Conservatoire National de Paris is finally released after having premiered it live on stage back in 2002.",7.8,2020
74,"Planet's Mad","Baauer",2020-06-19,"The second full-length release for the electronic artist features a guest appearance from Bipolar Sunshine.",8,2020
74,"Confetti","Little Mix",2020-11-06,"The sixth full-length studio release for the British pop group features contributions from such artists as Kamille, MNEK, Tayla Parx, and TMS.",8.9,2020
74,"Sorceress","Jess Williamson",2020-05-15,"The fourth full-length release for the singer-songwriter from Texas was self-produced with some co-production from Al Carlson, Dan Duszynski, and Shane Renfro.",NA,2020
74,"KiCk i","Arca",2020-06-26,"The fourth full-length studio release for the electronic artist/producer features guest appearances from Björk, Rosalía, Shygirl, and SOPHIE.",8.6,2020
74,"Everything Else Has Gone Wrong","Bombay Bicycle Club",2020-01-17,"The first full-length studio release in five years for the British indie rock band was produced with John Congleton.",7,2020
74,"As Long as You Are","Future Islands",2020-10-09,"The sixth full-length studio release for the Baltimore band is its first as a quartet with drummer Mike Lowry and was produced with Steve Wright.",8.7,2020
74,"If You're Dreaming","Anna Burch",2020-04-03,"The second full-length release for the indie-pop singer-songwriter was produced with Sam Evian.",7,2020
74,"Everyday Nothing","Brooke Bentham",2020-02-28,"The debut full-length release for the London-based singer-songwriter was produced by Bill Ryder-Jones.",NA,2020
74,"Self Worth","Mourn",2020-10-30,"The fourth full-length release for the Barcelona-based indie rock band was produced by Santi Garcia and Borja Pérez.",NA,2020
74,"Myopia","Agnes Obel",2020-02-21,"The fourth full-length release for the Danish singer-songwriter was self-recorded and produced.",8.1,2020
74,"Mystic Familiar","Dan Deacon",2020-01-31,"The fifth full-length solo release for the experimental electronic artist is his first in nearly five years.",8,2020
74,"Sucker's Lunch","Madeline Kenney",2020-07-31,"Produced by Jenn Wasner and Andy Stack, the third full-length release for the singer-songwriter features contributions from Olivia Gerber, Stephen Steinbrink, Boy Scouts' Taylor Vick, and Lambchop's Kurt Wagner.",NA,2020
74,"Sixteen Oceans","Four Tet",2020-03-13,"The 10th full-length release for Kieran Hebden as Four Tet features vocals from Ellie Goulding on ""Baby.""",8.3,2020
74,"Brightest Blue","Ellie Goulding",2020-07-17,"The fourth full-length studio release for the British artist features guest appearances from blackbear, Diplo, Juice WRLD, Lauv, serpentwithfeet, and Swae Lee.",8.6,2020
74,"The Quickening","Jim White",2020-05-15,"The debut full-length improvised collaboration between Marisa Anderson and Jim White was recorded in Mexico City and Portland, Oregon.",NA,2020
74,"Got to Be Tough","Toots & the Maytals",2020-08-28,"The latest full-length studio release for the reggae group was produced by its frontman, Frederick ""Toots"" Hibbert.",NA,2020
74,"Goons Be Gone","No Age",2020-06-05,"This is the fifth studio release for the Los Angeles noise rock duo fo Randy Randall and Dean Spunt.",NA,2020
73,"Making a New World","Field Music",2020-01-10,"The effects of World War I is the theme for the 19-song cycle that originated as a project for the Imperial War Museum from the British rock band.",7,2020
73,"There Is No Year","Algiers",2020-01-17,"The third full-length release for Atlanta-based quartet was produced by Randall Dunn and Ben Greenberg.",6.9,2020
73,"None of Us Are Getting out of This Life Alive","The Streets",2020-07-10,"The first full-length release in nearly 10 years for the British rapper features guest appearances from Oscar #Worldpeace, Hak Baker, Dapz on the Map, Donae'O, ELIZA, Greentea Peng, Rob Harvey, IDLES, Kasien, Jimothy Lacoste, Chris Lorenzo, Ms Banks, Jesse James Solomon, and Tame Impala.",8,2020
73,"Sundowner","Kevin Morby",2020-10-16,"The sixth full-length release for the Kansas-based singer-songwriter was recorded in Texas with producer Brad Cook  and completed remotely during the pandemic lockdown.",NA,2020
73,"Harkin","Harkin",2020-04-24,"The debut full-length solo release for the indie singer-songwriter features contributions from  Warpaint’s Stella Mozgawa and Wye Oak’s Jenn Wasner and was recorded with John Agnello and Richard Formby.",NA,2020
73,"Knuckleball Express","The Howling Hex",2020-04-17,"The latest release for Neil Hagerty's Howling Hex project was recorded over eight days and was produced by Clay Jones.",NA,2020
73,"Man Alive!","King Krule",2020-02-21,"The third full-length release for Archy Marshall as King Krule was inspired in part in his move away from London.",8.1,2020
73,"You Know I'm Not Going Anywhere","The Districts",2020-03-13,"The fourth full-length release for the Pennsylvania indie rock band was produced with Keith Abrams.",8,2020
73,"West of Eden","HMLTD",2020-02-07,"The debut full-length release for the London-based quintet features songs about masculinity, repression, violence, and western capitalism.",8,2020
73,"Fall To Pieces","Tricky",2020-09-04,"The 14th full-length studio release for the British electronic artist was recorded in Berlin.",7.6,2020
73,"Disco Volador","The Orielles",2020-02-28,"The second full-length release for the British indie-pop group was produced by Marta Salogni.",8,2020
73,"Dear Life","Brendan Benson",2020-04-24,"The seventh full-length solo release for the Raconteurs member was self-produced.",8,2020
73,"Hirudin","Austra",2020-05-01,"The fourth full-length release for Katie Stelmanis' music project features contributions from Cecile Believe, c_RL, Rodaidh McDonald, and Joseph Shabason.",7.3,2020
73,"Free Love","Sylvan Esso",2020-09-25,"The third full-length studio release for the electro-pop duo of Amelia Meath and Nick Sanborn was produced by John Hill in Los Angeles and completed in North Carolina.",NA,2020
73,"High Road","Kesha",2020-01-31,"The fourth full-length studio release for the pop singer features guest appearances from Big Freedia, Sturgill Simpson, Brian Wilson, and Wrabel.",8.6,2020
73,"Wake UP!","Hazel English",2020-04-24,"The debut full-length release for the Los Angeles-based artist born in Australia was produced by Ben H. Allen and Justin Raisen.",8.1,2020
73,"Abolition of the Royal Familia","The Orb",2020-03-27,"The latest full-length release for the British ambient house project led by Alex Paterson features contributions from such artists as Roger Eno, Miquette Giraudy, David Harrow, Steve Hillage, and Youth.",NA,2020
73,"New Me, Same Us","Little Dragon",2020-03-27,"The sixth full-length release for the Swedish band was self-produced and is its first on the Ninja Tune label.",7.4,2020
73,"Birthmarks","Hilary Woods",2020-03-13,"The second full-length solo release for the Irish singer-songwriter was written over two years and recorded while she was pregnant in Ireland and Norway with producer Lasse Marhaug.",NA,2020
73,"MTV Unplugged [Live at Hull City Hall]","Liam Gallagher",2020-06-12,"The live recording of the Oasis singer's solo MTV Unplugged concert at Hull City Hall in August 2019 features the 24-piece Urban Soul Orchestra and Oasis guitarist Paul “Bonehead” Arthurs.",7.9,2020
72,"Gentle Grip","Public Practice",2020-05-15,"The debut full-length release for the New York band that includes Samantha York and Vince McClelland of Wall and Drew Citron and Scott Rosenthal of Beverly features elements of funk, disco, and punk music.",NA,2020
72,"Under the Spell of Joy","Death Valley Girls",2020-10-02,"The latest full-length release for the Los Angeles-based garage/psych rock band features a children's choir.",8,2020
72,"I Feel Alive","TOPS",2020-04-03,"The fourth full-length release for the Canadian pop band led by Jane Penny and David Carriere is its first with Marta Cikojevic.",8.1,2020
72,"Mixing Colours","Roger Eno",2020-03-20,"This is the debut full-length collaboration between brothers Brian and Roger Eno.",NA,2020
